Country,Year,total_deaths,conflict_events,Conflict,prev_conflict,prev_year_deaths,rolling_conflict_3yr,rolling_deaths_3yr,event_change,conflict_streak,Future_Conflict,Conflict_Probability,Risk_Level,Articles_Fetched,Raw_Score,Matched_Keywords,Top_Article_1,Top_Article_2,Top_Article_3,Top_Article_4,Top_Article_5,Source_1,Source_2,Source_3,URL_1,URL_2,URL_3,News_Risk_Score,Live_Risk_Level,GeoRisk_Live_Score,Dynamic_Risk_Level,Emerging_Threat
Armenia,2023,20,10,0,1.0,154.0,0.3333333333333333,58.0,2.0,0,0,0.2210991146866435,Low,,,,,,,,,,,,,,,0.0,,0.15476938028065043,Low,False
Nepal,2023,0,0,0,0.0,1.0,0.0,0.3333333333333333,-1.0,0,0,0.2064686602678909,Low,,,,,,,,,,,,,,,0.0,,0.14452806218752362,Low,False
United States of America,2023,0,0,0,0.0,1.0,0.0,0.3333333333333333,-1.0,0,0,0.2064686602678909,Low,,,,,,,,,,,,,,,0.0,,0.14452806218752362,Low,False
Madagascar (Malagasy),2023,0,0,0,0.0,0.0,0.0,7.666666666666667,0.0,0,0,0.206139943238683,Low,,,,,,,,,,,,,,,0.0,,0.14429796026707808,Low,False
Georgia,2023,1,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0.2020203200114487,Low,,,,,,,,,,,,,,,0.0,,0.1414142240080141,Low,False
Belgium,2023,2,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0.2020203200114487,Low,,,,,,,,,,,,,,,0.0,,0.1414142240080141,Low,False
Spain,2023,2,1,0,0.0,0.0,0.0,0.0,1.0,0,0,0.2020203200114487,Low,,,,,,,,,,,,,,,0.0,,0.1414142240080141,Low,False
Paraguay,2023,0,0,0,0.0,0.0,0.0,1.6666666666666667,0.0,0,0,0.200987836760613,Low,,,,,,,,,,,,,,,0.0,,0.1406914857324291,Low,False
Ivory Coast,2023,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0.1924230177346629,Low,,,,,,,,,,,,,,,0.0,,0.13469611241426402,Low,False
Djibouti,2023,0,0,0,0.0,0.0,0.0,1.0,0.0,0,0,0.1924230177346629,Low,,,,,,,,,,,,,,,0.0,,0.13469611241426402,Low,False
Austria,2023,0,0,0,0.0,0.0,0.0,1.3333333333333333,0.0,0,0,0.191773195624242,Low,,,,,,,,,,,,,,,0.0,,0.13424123693696938,Low,False
Mauritania,2023,6,2,0,0.0,0.0,0.0,0.0,2.0,0,0,0.1875882294897141,Low,,,,,,,,,,,,,,,0.0,,0.13131176064279987,Low,False
Libya,2023,2,1,0,0.0,13.0,0.3333333333333333,238.3333333333333,-6.0,0,0,0.1561517095998746,Low,,,,,,,,,,,,,,,0.0,,0.10930619671991221,Low,False
Rwanda,2023,0,0,0,0.0,8.0,0.0,5.0,-3.0,0,0,0.1553213093286918,Low,,,,,,,,,,,,,,,0.0,,0.10872491653008425,Low,False
United Arab Emirates,2023,0,0,0,0.0,3.0,0.0,1.0,-1.0,0,0,0.155193046298349,Low,,,,,,,,,,,,,,,0.0,,0.1086351324088443,Low,False
Bolivia,2023,1,1,0,0.0,0.0,0.0,0.3333333333333333,1.0,0,0,0.1501893396598391,Low,,,,,,,,,,,,,,,0.0,,0.10513253776188737,Low,False
South Africa,2023,5,5,0,0.0,4.0,0.6666666666666666,52.0,1.0,0,0,0.1389392180581491,Low,,,,,,,,,,,,,,,0.0,,0.09725745264070436,Low,False
Tajikistan,2023,0,0,0,1.0,87.0,0.3333333333333333,34.333333333333336,-26.0,0,0,0.1324770549957658,Low,,,,,,,,,,,,,,,0.0,,0.09273393849703604,Low,False
Liberia,2023,0,0,0,0.0,0.0,0.0,0.6666666666666666,0.0,0,0,0.1140581214419055,Low,,,,,,,,,,,,,,,0.0,,0.07984068500933385,Low,False
Zimbabwe (Rhodesia),2023,0,0,0,0.0,0.0,0.0,0.6666666666666666,0.0,0,0,0.1140581214419055,Low,,,,,,,,,,,,,,,0.0,,0.07984068500933385,Low,False
Sierra Leone,2023,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,0.1104034278214121,Low,,,,,,,,,,,,,,,0.0,,0.07728239947498847,Low,False
Tanzania,2023,0,0,0,0.0,4.0,0.6666666666666666,24.666666666666668,-3.0,0,0,0.0990451437906912,Low,,,,,,,,,,,,,,,0.0,,0.06933160065348383,Low,False
Congo,2023,0,0,0,0.0,3.0,0.0,1.0,-2.0,0,0,0.0973400989578635,Low,,,,,,,,,,,,,,,0.0,,0.06813806927050445,Low,False
El Salvador,2023,0,0,0,1.0,88.0,0.3333333333333333,32.333333333333336,-68.0,0,0,0.0954333804400087,Low,,,,,,,,,,,,,,,0.0,,0.06680336630800608,Low,False
Eritrea,2023,0,0,0,0.0,4.0,0.0,1.3333333333333333,-4.0,0,0,0.0830331228524061,Low,,,,,,,,,,,,,,,0.0,,0.05812318599668427,Low,False
Albania,2023,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0715552489119881,Low,,,,,,,,,,,,,,,0.0,,0.05008867423839167,Low,False
Bahrain,2023,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0715552489119881,Low,,,,,,,,,,,,,,,0.0,,0.05008867423839167,Low,False
Australia,2023,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0715552489119881,Low,,,,,,,,,,,,,,,0.0,,0.05008867423839167,Low,False
Argentina,2023,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0715552489119881,Low,,,,,,,,,,,,,,,0.0,,0.05008867423839167,Low,False
Bosnia-Herzegovina,2023,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0715552489119881,Low,,,,,,,,,,,,,,,0.0,,0.05008867423839167,Low,False
